Issue ID,Parent ID,Issue Type,Summary,Description,Labels,Story Points,Sprint,Assignee Role
CDP-1,,Epic,"CDP-1 Governance, clinical safety & regulatory","Safety and compliance evidence produced as work, not paperwork at the end.",cdp,,,Lead engineer
CDP-2,,Epic,CDP-2 Platform foundation,"Environments as code, CI/CD, and a deploy path to staging.",cdp,,,Engineer 4 · Platform
CDP-3,,Epic,CDP-3 Source adapters & terminology,"Read-only, provenance-complete evidence from P and C in BigQuery.",cdp,,,Engineer 1 · Data
CDP-4,,Epic,CDP-4 Evidence snapshot & validation,One consistent snapshot per run; absence is never a value.,cdp,,,Engineer 2 · Evidence & AI
CDP-5,,Epic,CDP-5 AI evidence extraction,"One bounded, cited, abstaining ADK skill, improved by measurement.",cdp,,,Engineer 2 · Evidence & AI
CDP-6,,Epic,CDP-6 Tree DSL & deterministic executor,Trees as immutable data evaluated by a pure function.,cdp,,,Engineer 3 · Logic & review UI
CDP-7,,Epic,CDP-7 Durable run orchestration,Runs that survive restarts and duplicates and fail closed.,cdp,,,Engineer 4 · Platform
CDP-8,,Epic,CDP-8 Clinician review,A review loop clinicians can independently verify.,cdp,,,Engineer 3 · Logic & review UI
CDP-9,,Epic,"CDP-9 Security, access & audit",Role-based access and tamper-evident audit.,cdp,,,Engineer 3 · Logic & review UI
CDP-10,,Epic,CDP-10 Observability,PHI-free telemetry and operational signals.,cdp,,,Engineer 2 · Evidence & AI
CDP-11,,Epic,"CDP-11 Verification, test window & release","Prove it works, then decide; shadow mode follows in Phase 2.",cdp,,,Lead engineer
CDP-12,,Epic,CDP-12 Enterprise data access & readiness,"Approved, least-privilege access to P and C in BigQuery, started on day one.",cdp,,,Lead engineer
CDP-13,,Epic,"CDP-13 Agent engineering: Devin, Arize AX & CI","The build-measure-improve loop for agents, with guardrails for AI-written code.",cdp,,,Lead engineer
CDP-101,CDP-1,Story,CDP-101 Intended-use statement sent to counsel,"As a clinical safety officer, I want a signed intended-use statement for Tree A sent to regulatory counsel in week one, so that the determination is ready before any real patient data (Phase 2).

Acceptance criteria:
- Names user, population, care setting and Tree A scope; no autonomous action or writeback
- Assesses the non-device CDS criteria against the review-screen design
- Counsel's determination tracked as a Phase 2 entry gate
Addresses review findings: G-01",cdp mvp-70 lead g-01,3,CDP I1 (Days 1–7),Lead engineer
CDP-103,CDP-1,Story,CDP-103 ADRs for MVP architecture choices,"As a engineering team, I want ADRs for single Postgres store, Postgres job queue, direct BigQuery reads via views, eager snapshot, and template explanations, so that the MVP's deviations from HLD v1.0 are explicit and reversible.

Acceptance criteria:
- Five ADRs with context, decision, consequences, and revisit trigger
- Product owner and architecture sign-off recorded
Addresses review findings: G-13, G-17, G-06, G-18",cdp mvp-70 lead g-13 g-17 g-06 g-18,3,CDP I2 (Days 8–14),Lead engineer
CDP-102,CDP-1,Story,CDP-102 Hazard log v1 with hazard → control → test links,"As a clinical safety officer, I want every identified hazard linked to a control and a test ID, so that the Day-70 verification has a checklist that means something.

Acceptance criteria:
- Covers wrong patient, stale/superseded evidence, missing-as-negative, fabricated extraction, bypassed review, defective bundle, PHI egress, AI-written test tampering
- Each hazard has severity, control, verifying test, and residual risk
- CI fails if a referenced test ID disappears

Depends on: CDP-101
Addresses review findings: G-01",cdp mvp-70 lead g-01,5,CDP I3 (Days 15–21),Lead engineer
CDP-104,CDP-1,Story,CDP-104 Threat model (lite),"As a security reviewer, I want a STRIDE pass over API, worker, BigQuery access, model calls, telemetry, and the Devin supply chain, so that controls exist for the threats we introduce.

Acceptance criteria:
- Covers document prompt injection, cross-patient access, PHI egress via spans/errors, over-privileged agent credentials
- Each threat mapped to a story or accepted risk; reviewed by security
Addresses review findings: G-14",cdp mvp-70 lead g-14,2,CDP I4 (Days 22–28),Lead engineer
CDP-107,CDP-1,Story,CDP-107 Pre-registered Day-70 thresholds,"As a product owner, I want numeric pass criteria for the extraction skill and safety suite signed before the held-out set is frozen, so that the Day-70 decision isn't fitted to results.

Acceptance criteria:
- Zero false acceptances; 100% citation validity; field-accuracy target stated with sample size
- Signed by clinical lead and product owner before CDP-1403

Depends on: CDP-102
Addresses review findings: G-08",cdp mvp-70 lead g-08,2,CDP I4 (Days 22–28),Lead engineer
